model	dataset	method	base_lfr	tuned_lfr	delta	tuned_ned	tuned_ppl	tuned_total_cfs	eval_dir
Llama	snli_hypothesis	grpo_multi	0.587	0.6733	0.0863	0.4054	183.4433	1301	results/evaluation_snli_hypothesis_200s_grpo_mv2g16_ckpt14900_fair_llama31_8b
Llama	snli_hypothesis	gdpo	0.587	0.6474	0.0604	0.5455	164.4485	1316	results/evaluation_snli_hypothesis_200s_gdpo_v6_ckpt1000_llama31_8b
Llama	snli_hypothesis	dpo	0.587	0.6269	0.04	0.4138	117.5176	1678	results/evaluation_snli_hypothesis_200s_dpo_2pair_lr2e5_tagged_llama31_8b
Llama	snli_hypothesis	simpo	0.587	0.6172	0.0302	0.4091	161.3553	1625	results/evaluation_snli_hypothesis_200s_simpo_b2g05_tagged_llama31_8b
Llama	snli_hypothesis	grpo_single	0.587	0.6129	0.026	0.4684	148.4735	1669	results/evaluation_snli_hypothesis_200s_grpo_v2g16_ckpt6000_llama31_8b
Llama	snli_hypothesis	sft	0.587	0.5704	-0.0165	0.5769	138.9986	1434	results/evaluation_snli_hypothesis_200s_sft_ckpt100_sweep_llama31_8b
Llama	snli_premise	grpo_single	0.4322	0.7465	0.3144	0.2903	58.8655	1156	results/evaluation_snli_premise_200s_grpo_v2g16_ckpt7500_llama31_8b
Llama	snli_premise	grpo_multi	0.4322	0.7164	0.2842	0.3314	66.9749	1576	results/evaluation_snli_premise_200s_grpo_fair_multi_ckpt11200_llama31_8b
Llama	snli_premise	simpo	0.4322	0.6218	0.1896	0.4259	89.8879	1885	results/evaluation_snli_premise_200s_simpo_b3_g05_lr2e6_llama31_8b
Llama	snli_premise	gdpo	0.4322	0.5438	0.1117	0.4634	107.5275	1745	results/evaluation_snli_premise_200s_gdpo_v6_ckpt500_llama31_8b
Llama	snli_premise	dpo	0.4322	0.4562	0.024	0.4107	96.8778	1484	results/evaluation_snli_premise_200s_dpo_2pair_lr2e6_llama31_8b
Llama	snli_premise	sft	0.4322	0.4515	0.0193	0.4896	102.8963	1648	results/evaluation_snli_premise_200s_sft_llama31_8b
